id          category_id text                                                                                                                                                                                                                                                             difficulty type       explanation
----------- ----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1           1           Welke populaire social media app heeft een spook in het logo?                                                                                                                                                                                                    easy       multiple   Snapchat
2           1           Wat zijn de eerste drie letters van het Griekse alfabet?                                                                                                                                                                                                         medium     multiple   a (alfa), ß (bèta), ? (gamma)
3           1           Waar staat de afkorting Wi-Fi voor?                                                                                                                                                                                                                              medium     multiple   De afkorting Wi-Fi staat voor Wireless Fidelity
4           1           Wat is de naam van het proces waarbij planten zonlicht, koolstofdioxide en water omzetten in glucose en zuurstof.                                                                                                                                                medium     multiple   Fotosynthese
5           1           Wat zijn de eerste 5 cijfers van pi (p)?                                                                                                                                                                                                                         hard       multiple   3,14159
6           2           Wie speelde Batman in de Dark Knight?                                                                                                                                                                                                                            easy       multiple   Christian Bale
7           2           Hoeveel films bevat de Harry Potter-reeks?                                                                                                                                                                                                                       medium     multiple   8 delen
8           2           Wie is de zoon van Han Solo?                                                                                                                                                                                                                                     medium     multiple   Kylo Ren (Ben Solo)
9           2           In welk jaar verscheen Mickey Mouse?                                                                                                                                                                                                                             medium     multiple   1928 'Steamboat Willy'
10          2           Wat zei Robbert Oppenheimer tegen Albert Einstein aan het einde van de film Oppenheimer?                                                                                                                                                                         hard       multiple   When I came to you with those calculations, we thought we might start a chain-reaction that would destroy the world...I believe we did.
11          3           In welk jaar raakte Adolf Hitler aan de macht?                                                                                                                                                                                                                   easy       multiple   1933
12          3           Wanneer was de watersnoodramp in Nederland?                                                                                                                                                                                                                      medium     multiple   1953
13          3           In welk jaar werd Koning Willem-Alexander ingehuldigd?                                                                                                                                                                                                           medium     multiple   2013
14          3           Waar staat de afkorting W.I.C. voor?                                                                                                                                                                                                                             medium     multiple   West-Indische Compagnie
15          3           Welk jaar in de Gouden Eeuw noemen we in Nederland ook wel het rampjaar?                                                                                                                                                                                         hard       multiple   1672
16          4           Hoeveel dwergen zijn er in het sprookje 'Sneeuwwitje en de ... dwergen'?                                                                                                                                                                                         easy       multiple   7 dwergen
17          4           Op hoeveel matrassen lag de prinses van het sprookje 'Prinses op de erwt'?                                                                                                                                                                                       medium     multiple   20 matrassen
18          4           Hoeveel broers heeft kleinduimpje?                                                                                                                                                                                                                               medium     multiple   6 broers
19          4           Wat is het magisch voorwerp in het sprookje de Indische Waterlelies?                                                                                                                                                                                             medium     multiple   Een bloem
20          4           Wat steelt de vader van Belle in 'Belle en het beest'?                                                                                                                                                                                                           hard       multiple   Een roos
21          5           In welk jaar kwam Grand Theft Auto V uit?                                                                                                                                                                                                                        easy       multiple   2013
22          5           Hoe heette de console die Nintendo uitbracht in 2012?                                                                                                                                                                                                            medium     multiple   Wii U
23          5           In welk videospel ontmoet je het personage Lara Croft, een avonturier en archeoloog?                                                                                                                                                                             medium     multiple   Tomb Raider
24          5           Welk spel wordt beschouwd als de eerste commercieel succesvolle videogame?                                                                                                                                                                                       medium     multiple   Pong (1972)
25          5           Wat was de 'Game of the year' in 2024?                                                                                                                                                                                                                           hard       multiple   Astro Bot
26          6           Wat is de officiële term voor de ziekte die wordt veroorzaakt door het SARS-CoV-2 coronavirus?                                                                                                                                                                   easy       multiple   COVID-19
27          6           Wie heeft de zwaartekracht ontdekt?                                                                                                                                                                                                                              medium     multiple   Isaac Newton
28          6           Welke astronomische lengte-eenheid is gelijk aan ~9460 miljard kilometer?                                                                                                                                                                                        medium     multiple   Een lichtjaar
29          6           Wat wordt bedoeld met de letters 'pH'?                                                                                                                                                                                                                           medium     multiple   De zuurtegraad
30          6           Hoe noem je een plant of dier dat zowel vrouwelijke als mannelijke geslachtsorganen heeft?                                                                                                                                                                       hard       multiple   Hermafrodiet
